product_id,sku,name,score,problems
,,Turbosprężarka regenerowana Garrett GTC1549MVZ 2.0 TDI Nr ,18,SKU_PUSTE;BRAND_TAX_PUSTA;STAN_BRAK;BRAK_KROTKIEGO
,,Turbosprężarka GARRETT 850840 do Ford Transit 2.0 EcoBlue ,18,SKU_PUSTE;BRAND_TAX_PUSTA;STAN_BRAK;BRAK_KROTKIEGO
,,Regenerowana turbosprężarka Hyundai KIA 2.0 CRDi 185KM,26,SKU_PUSTE;BRAND_TAX_PUSTA;STAN_BRAK
,,Regenerowana turbosprężarka Audi VW Skoda 1.9 TDI 100KM AX,26,SKU_PUSTE;BRAND_TAX_PUSTA;STAN_BRAK
,,Regenerowana turbosprężarka Citroen Peugeot 2.7 HDi V6 204,26,SKU_PUSTE;BRAND_TAX_PUSTA;STAN_BRAK
,,Regenerowana turbosprężarka Mercedes 3.0 CDI V6 OM642,26,SKU_PUSTE;BRAND_TAX_PUSTA;STAN_BRAK
,,Regenerowana turbosprężarka Volvo 2.4 D D5244T5 185KM,26,SKU_PUSTE;BRAND_TAX_PUSTA;STAN_BRAK
,,Regenerowana turbosprężarka Bi-Turbo Ford Mondeo S-Max 2.0,26,SKU_PUSTE;BRAND_TAX_PUSTA;STAN_BRAK
,,Regenerowana turbosprężarka Bi-Turbo Renault Master 2.3 dC,26,SKU_PUSTE;BRAND_TAX_PUSTA;STAN_BRAK
,,Regenerowana turbosprężarka VW Audi Skoda Seat 1.9 TDI 105,26,SKU_PUSTE;BRAND_TAX_PUSTA;STAN_BRAK
,,Regenerowana turbosprężarka Hyundai H-1 Starex iLoad 2.5 C,26,SKU_PUSTE;BRAND_TAX_PUSTA;STAN_BRAK
,,Regenerowana turbosprężarka Dacia Renault Nissan 1.2 TCe 1,26,SKU_PUSTE;BRAND_TAX_PUSTA;STAN_BRAK
,,Regenerowane turbo Garrett 04L253022B VW T6 / Crafter / MA,34,SKU_PUSTE;STAN_BRAK
,,Turbosprężarka Garrett 838452 Ford Transit 2.0 TDCi EcoBlu,34,SKU_PUSTE;STAN_BRAK
,,Turbosprężarka Garrett 852072 Ford 2.0 TDCi EcoBlue - Rege,34,SKU_PUSTE;STAN_BRAK
,18471697681,Turbosprężarka 49335 2.0D N47D20 N47D20C N47TUE BMW 320D 5,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18471697167,Regenerowana turbosprężarka BMW 120d 220d 320d 420d 520d X,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18471695778,Regenerowane turbo BMW 120d / 320d / 520d / X1 / X3 N47D20,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18471671615,Turbosprężarka BMW 120D 220D 320D 420D 520D X3 2.0D N47D20,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18471668200,Turbosprężarka 53039700137 BV43 2.0 TDI CEGA CBBB 170KM VW,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18471663753,Turbosprężarka VW Golf Passat Tiguan Audi A3 TT Seat Skoda,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18471662690,Turbosprężarka 2.0 TDI CEGA CBBB 170KM VW Golf Passat Tigu,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18471634534,Turbosprężarka 2.0 TDI CEGA CBBB 170KM Audi VW Golf Passat,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18471632790,Turbosprężarka 54409 BorgWarner VW Golf Passat Audi A4 2.0,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18471632404,Turbosprężarka VW Golf Passat Audi A4 A3 Seat Skoda 2.0 TD,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18471624344,Turbosprężarka 2.0 TDI CFHA CFHB CLCA 140KM Audi VW Golf P,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18471604890,Turbosprężarka BorgWarner Audi VW Seat Skoda 2.0 TDI 140KM,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18463259322,Turbosprężarka Opel Insignia Zafira C Cascada 2.0 CDTI B20,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18463158335,Regenerowane turbo Garrett 819976 BMW 120d / 320d / 520d /,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18463065099,Turbosprężarka Garrett VW Golf 7 Audi A3 Seat 1.6TDI CLHA ,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18448261265,Turbosprężarka BiTurbo VW 2.0 BiTDI 53049700139 K04 T5 T6 ,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18448259690,Turbosprężarka regenerowana BiTurbo VW T5 T6 Amarok 2.0 Bi,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18448205744,Turbosprężarka BiTurbo VW Transporter T5 T6 Amarok 2.0 BiT,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18448068039,Turbosprężarka BiTurbo Mazda 3 6 CX-5 CX-7 2.2D 150 175KM ,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18421966015,Turbosprężarka 2.0 TDI 143KM Audi A4 B8 A5 Q5 Exeo CGLC CJ,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18402165822,TURBOSPRĘŻARKA FORD KUGA PEUGEOT 3008 2.0 TDCI DW10FC 5303,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18402155871,REGENEROWANE TURBO PEUGEOT 508 FORD MONDEO 2.0 BLUEHDI TDC,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18402148626,TURBO FORD TRANSIT CONNECT 1.0 ECOBOOST 3ZYL 125 140 KM 18,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18402145611,Regenerowana turbosprężarka Ford Focus / Fiesta 1.0 EcoBoo,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18402119465,REGENEROWANE TURBO FORD FOCUS FIESTA 1.0 ECOBOOST CM5G6K68,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18402112222,TURBO 1.5 BLUEHDI PEUGEOT RIFTER CITROEN BERLINGO 853603 1,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18402111066,Regenerowane turbo Opel Vivaro / Toyota Proace 1.5 Diesel ,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18402110143,REGENEROWANE TURBO PEUGEOT 3008 CITROEN 1.5 BLUEHDI 853603,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18402095460,TURBOSPRĘŻARKA 5438-970-0003 5438-970-0009 5438-970-0011 5,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18402092412,TURBOSPRĘŻARKA 1.6CDTI OPEL ASTRA INSIGNIA ZAFIRA 94 109 1,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18383002998,Regenerowane turbo IHI Mazda 6 GY GG 2.0 DI RF5C VJ32 RF5C,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18383001761,TURBO HYUNDAI TUCSON KIA SPORTAGE 1.6 CRDI 843814-5008S 28,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18383000605,Regenerowane turbo Kia Ceed / Stonic / Hyundai i30 1.6 CRD,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18382988386,REGENEROWANE TURBO KIA SPORTAGE HYUNDAI TUCSON 1.6CRDI 843,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18382979529,Regenerowane turbo Renault Espace / Koleos 2.0 dCi 49180-1,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18382976387,REGENEROWANE TURBO RENAULT TRAFIC 2.0 DCI M9R 49131-07430 ,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18382963629,TURBO VOLKSWAGEN CRAFTER 2.0 TDI 102KM 140KM 04L253014F 87,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18382961696,TURBOSPRĘŻARKA VW CRAFTER 2.0 TDI BMT 873970 845888 04L253,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18382632700,Regenerowane turbo VW Crafter 2.0 TDI DAUA DAUB 873970 04L,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18376334443,TURBO MERCEDES V-KLASA W447 SPRINTER 2.0 OM654 873798 9110,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18376333704,TURBOSPRĘŻARKA MERCEDES SPRINTER 317 CDI W447 873798 65409,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18376325974,REGENEROWANE TURBO MERCEDES V220 W447 SPRINTER 2.0 873798 ,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18376325119,TURBOSPRĘŻARKA VW POLO GTI S1 TT 1.8 DAJB CJXC IHI 06K1457,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18376299432,TURBO IHI VW GOLF VII GTI AUDI A3 2.0 TFSI 06K145702Q 06K1,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18376259818,TURBOSPRĘŻARKA AUDI A3 Q3 PASSAT B8 2.0 TDI 04L253010B BM7,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18376218513,TURBOSPRĘŻARKA AUDI Q3 SKODA OCTAVIA 2.0 35TDI 150KM 05L25,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18375898119,TURBO RENAULT KADJAR NISSAN QASHQAI 1.7 DCI 144108640R 491,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18375749512,Regenerowane turbo VW T6 Multivan 2.0 TDI 84-102 KM 830324,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18375567712,Turbosprężarka MITSUBISHI L200 PAJERO SPORT 2.4 DI-D 4N15 ,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18375534443,TURBOSPRĘŻARKA 786880 FORD TRANSIT MK8 2.2TDCI 155KM BK2Q-,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18373071927,TURBOSPRĘŻARKA GARRETT 814698 OPEL ASTRA J / K 1.6 CDTI 11,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18373053710,TURBOSPRĘŻARKA 1.5 BLUEHDI PEUGEOT CITROEN OPEL TOYOTA 102,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18373017120,TURBO FORD TOURNEO CUSTOM 2.0ECOBLUE 105 KM 838417 130 170,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18372999267,Turbosprężarka JAGUAR /LAND ROVER 2.0 D 180KM Discovery Sp,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18372984309,TURBOSPRĘŻARKA 1.6CDTI OPEL ASTRA INSIGNIA MOKKA ZAFIRA 94,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18372877669,TURBOSPRĘŻARKA IHI VJ40 VJ41 MAZDA 3 / MAZDA 6 2.2 MZR-CD ,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18372704736,TURBOSPRĘŻARKA 54389700005 54389700018 1.6dCi 136KM RENAUL,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18372685666,TURBOSPRĘŻARKA 756047 PEUGEOT CITROEN 2.0HDI 136KM 307 308,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18372660855,TURBOSPRĘŻARKA 873767 VW CRAFTER T6 CARAVELLE MULTIVAN 2.0,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18372650573,Regenerowane turbo Garrett 715910 Mercedes E270 CDI / ML27,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18372639742,TURBOSPRĘŻARKA GARRETT 792290 VW TRANSPORTER T5 T6 2.0 TDI,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18372621520,Turbosprężarka Garrett 792290 VW Transporter T5 T6 2.0 TDI,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18372221475,Turbosprężarka 06K145654K 2.0 TFSI 190-230KM VW Audi Q3 A3,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18312823215,Turbosprężarka 834009 Subaru Forester Impreza Legacy 2.0D1,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18312812943,TURBOSPRĘŻARKA 898906-0004 DUCATO BOXER JUMPER 2.2 HDI 120,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18292156147,TURBOSPRĘŻARKA 49335-01120 MITSUBISHI OUTLANDER 2.2 DI-D 1,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18292105010,TURBOSPRĘŻARKA 49373-02000 1.4HDI 1.6 HDI CITROEN PEUGEOT ,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18274073773,Turbosprężarka 04L253010B 2.0TDI Audi VW Seat Skoda 102 15,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18271241581,Turbosprężarka Garrett 831120 Mercedes E200 E220 W213 Vito,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18271233631,Turbosprężarka Garrett 843814 Hyundai Kia 1.6 CRDi i30 Cee,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18271133803,Turbosprężarka Garrett 856652 839827 Hyundai Kia 1.0 T-GDI,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18271052515,Turbosprężarka 2.0 BlueHDi TDCi HDi 150-177KM Ford Peugeot,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18269528611,Turbosprężarka Garrett 04L253022B VW T6 Crafter MAN TGE 2.,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18269499090,Turbosprężarka 852072 Ford 2.0 TDCi EcoBlue 120-190KM Nowy,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18269298600,Turbosprężarka Garrett 838452 Ford Transit 2.0 EcoBlue 105,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18269117651,Turbosprężarka GARRETT 850840 Ford Transit 2.0D EcoBlue To,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18271048433,Turbosprężarka 49135-05895 BMW 120d 320d 520d X3 N47 177KM,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18271011511,Turbosprężarka 49135-05895 BMW 120d 320d 520d X3 N47 177KM,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18422088110,TURBOSPRĘŻARKA 53039700652 KIA SORENTO IV HYUNDAI SANTA FE,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18312729020,Turbosprężarka 05L253019F VW Audi 2.0 TDI 150KM Passat Tig,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18292787825,TURBOSPRĘŻARKA 2.0 TSI TFSI VW AUDI SEAT 210KM 220KM 230KM,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18271433765,TURBOSPRĘŻARKA FORD TRANSIT / RANGER 2.2 TDCi Garrett 7875,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18382981013,TURBO OPEL VIVARO FIAT TALENTO 2.0 DCI 49131-07400 1441078,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18292067430,TURBOSPRĘŻARKA 2.0 DCI 16V ADBLUE RENAULT NISSAN FIAT 120-,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18292034357,TURBOSPRĘŻARKA 49172-03000 1.5 1.6 HDI TDCI PEUGEOT CITROE,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18274105485,TURBOSPRĘŻARKA 781504 OPEL CHEVROLET 1.4 TURBO 120KM 140KM,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18274055668,TURBOSPRĘŻARKA re 822088 FIAT 1.3 JTD MULTIJET | DOBLO PAN,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18292785397,Turbosprężarka Audi A4/A5 2.0 TFSI MHEV 150‑190 KM (OEM 06,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,18292761350,Regenerowana turbosprężarka Audi A4/A5 2.0 TFSI 150‑190 KM,51,SKU=NUMER_TURBO;BRAND_TAX_PUSTA;BRAK_KROTKIEGO
,GAR-874595,Turbosprężarka GARRETT 874595 - Audi A4 B9 / A5 F5 2.0 TFS,67,STAN_BRAK
,18376313993,Turbosprężarka 06K145701T IHI 1.8 / 2.0 TSI TFSI Audi VW S,67,SKU=NUMER_TURBO
,18376201766,Turbosprężarka 776470 / 059145722M 3.0 TDI Audi A6 Q7 Toua,67,SKU=NUMER_TURBO
,18373037482,Turbosprężarka 54389700006 1.5 dCi / CDI Renault Dacia Nis,67,SKU=NUMER_TURBO
,18372573763,Turbosprężarka BiTurbo Volvo 2.0 D D4204T14 / D4204T5 D3 D,67,SKU=NUMER_TURBO
